datetime,TITAN_QE95_energy,GAIA_A_QE95_energy,GAIA_B_QE95_energy,TITAN_and_GAIA_A_QE95_energy,TITAN_and_GAIA_B_QE95_energy,GAIA_A_and_B_QE95_energy,MA2_north_beam_QE95_energy,MA2_full_power_QE95_energy
2026-06-29 13:20:02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29 13:20:42,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
